詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
論孟,ㄌㄨㄣˊ ㄇㄥˋ,ㄌㄨㄣˋ ㄇㄥˋ,論:ㄌㄨㄣˋ→ㄌㄨㄣˊ(IVS+1),IVS可修,
論語,ㄌㄨㄣˊ ㄩˇ,ㄌㄨㄣˋ ㄩˇ,論:ㄌㄨㄣˋ→ㄌㄨㄣˊ(IVS+1),IVS可修,
輪調,ㄌㄨㄣˊ ㄉㄧㄠˋ,ㄌㄨㄣˊ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
輪子,ㄌㄨㄣˊ ˙ㄗ,ㄌㄨㄣˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
論調,ㄌㄨㄣˋ ㄉㄧㄠˋ,ㄌㄨㄣˋ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
論著,ㄌㄨㄣˋ ㄓㄨˋ,ㄌㄨㄣˋ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨˋ(IVS+1),IVS可修,
隆盛,ㄌㄨㄥˊ ㄕㄥˋ,ㄌㄨㄥˊ ㄔㄥˊ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
籠子,ㄌㄨㄥˊ ˙ㄗ,ㄌㄨㄥˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
弄堂,ㄌㄨㄥˋ ㄊㄤˊ,ㄋㄨㄥˋ ㄊㄤˊ,弄:ㄋㄨㄥˋ→ㄌㄨㄥˋ(IVS+1),IVS可修,
驢子,ㄌㄩˊ ˙ㄗ,ㄌㄩˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
旅長,ㄌㄩˇ ㄓㄤˇ,ㄌㄩˇ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
咯咯作響,ㄍㄜ ㄍㄜ ㄗㄨㄛˋ ㄒㄧㄤˇ,˙ㄌㄛ ˙ㄌㄛ ㄗㄨㄛˋ ㄒㄧㄤˇ,咯:˙ㄌㄛ→ㄍㄜ(IVS+1); 咯:˙ㄌㄛ→ㄍㄜ(IVS+1),IVS可修,
哥哥,ㄍㄜ ˙ㄍㄜ,ㄍㄜ ㄍㄜ,哥:ㄍㄜ→˙ㄍㄜ(IVS+1),IVS可修,
鴿子,ㄍㄜ ˙ㄗ,ㄍㄜ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
格調,ㄍㄜˊ ㄉㄧㄠˋ,ㄍㄜˊ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
格子,ㄍㄜˊ ˙ㄗ,ㄍㄜˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
隔行如隔山,ㄍㄜˊ ㄏㄤˊ ㄖㄨˊ ㄍㄜˊ ㄕㄢ,ㄍㄜˊ ㄒㄧㄥˊ ㄖㄨˊ ㄍㄜˊ ㄕㄢ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
各不相讓,ㄍㄜˋ ㄅㄨˋ ㄒㄧㄤ ㄖㄤˋ,ㄍㄜˋ ㄅㄨˋ ㄒㄧㄤˋ ㄖㄤˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
各憑本事,ㄍㄜˋ ㄆㄧㄥˊ ㄅㄣˇ ˙ㄕ,ㄍㄜˋ ㄆㄧㄥˊ ㄅㄣˇ ㄕˋ,事:ㄕˋ→˙ㄕ(字型無此讀音),字型缺讀音,
各行各業,ㄍㄜˋ ㄏㄤˊ ㄍㄜˋ ㄧㄝˋ,ㄍㄜˋ ㄒㄧㄥˊ ㄍㄜˋ ㄧㄝˋ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
個子,ㄍㄜˋ ˙ㄗ,ㄍㄜˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
改行,ㄍㄞˇ ㄏㄤˊ,ㄍㄞˇ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
改弦更張,ㄍㄞˇ ㄒㄧㄢˊ ㄍㄥ ㄓㄤ,ㄍㄞˇ ㄒㄧㄢˊ ㄍㄥˋ ㄓㄤ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
蓋頭,ㄍㄞˋ ˙ㄊㄡ,ㄍㄞˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
高帽子,ㄍㄠ ㄇㄠˋ ˙ㄗ,ㄍㄠ ㄇㄠˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
高調,ㄍㄠ ㄉㄧㄠˋ,ㄍㄠ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
高麗,ㄍㄠ ㄌㄧˊ,ㄍㄠ ㄌㄧˋ,麗:ㄌㄧˋ→ㄌㄧˊ(IVS+1),IVS可修,
高興,ㄍㄠ ㄒㄧㄥˋ,ㄍㄠ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
