詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
癤子,ㄐㄧㄝˊ ˙ㄗ,ㄐㄧㄝˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
潔身自好,ㄐㄧㄝˊ ㄕㄣ ㄗˋ ㄏㄠˋ,ㄐㄧㄝˊ ㄕㄣ ㄗˋ ㄏㄠˇ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
解悶,ㄐㄧㄝˇ ㄇㄣˋ,ㄐㄧㄝˇ ㄇㄣ,悶:ㄇㄣ→ㄇㄣˋ(IVS+1),IVS可修,
借調,ㄐㄧㄝˋ ㄉㄧㄠˋ,ㄐㄧㄝˋ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
借屍還魂,ㄐㄧㄝˋ ㄕ ㄏㄨㄢˊ ㄏㄨㄣˊ,ㄐㄧㄝˋ ㄕ ㄏㄞˊ ㄏㄨㄣˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
解送,ㄐㄧㄝˋ ㄙㄨㄥˋ,ㄐㄧㄝˇ ㄙㄨㄥˋ,解:ㄐㄧㄝˇ→ㄐㄧㄝˋ(IVS+1),IVS可修,
解元,ㄐㄧㄝˋ ㄩㄢˊ,ㄐㄧㄝˇ ㄩㄢˊ,解:ㄐㄧㄝˇ→ㄐㄧㄝˋ(IVS+1),IVS可修,
交還,ㄐㄧㄠ ㄏㄨㄢˊ,ㄐㄧㄠ ㄏㄞˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
交響樂,ㄐㄧㄠ ㄒㄧㄤˇ ㄩㄝˋ,ㄐㄧㄠ ㄒㄧㄤˇ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
交差,ㄐㄧㄠ ㄔㄞ,ㄐㄧㄠ ㄔㄚ,差:ㄔㄚ→ㄔㄞ(IVS+1),IVS可修,
交惡,ㄐㄧㄠ ㄨˋ,ㄐㄧㄠ ㄜˋ,惡:ㄜˋ→ㄨˋ(IVS+1),IVS可修,
教書,ㄐㄧㄠ ㄕㄨ,ㄐㄧㄠˋ ㄕㄨ,教:ㄐㄧㄠˋ→ㄐㄧㄠ(IVS+1),IVS可修,
膠卷,ㄐㄧㄠ ㄐㄩㄢˇ,ㄐㄧㄠ ㄐㄩㄢˋ,卷:ㄐㄩㄢˋ→ㄐㄩㄢˇ(IVS+1),IVS可修,
膠著狀態,ㄐㄧㄠ ㄓㄨㄛˊ ㄓㄨㄤˋ ㄊㄞˋ,ㄐㄧㄠ ˙ㄓㄜ ㄓㄨㄤˋ ㄊㄞˋ,著:˙ㄓㄜ→ㄓㄨㄛˊ(IVS+4),IVS可修,
驕橫,ㄐㄧㄠ ㄏㄥˋ,ㄐㄧㄠ ㄏㄥˊ,橫:ㄏㄥˊ→ㄏㄥˋ(IVS+1),IVS可修,
餃子,ㄐㄧㄠˇ ˙ㄗ,ㄐㄧㄠˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
腳丫子,ㄐㄧㄠˇ ㄧㄚ ˙ㄗ,ㄐㄧㄠˇ ㄧㄚ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
攪和,ㄐㄧㄠˇ ㄏㄨㄛˋ,ㄐㄧㄠˇ ㄏㄜˊ,和:ㄏㄜˊ→ㄏㄨㄛˋ(IVS+3),IVS可修,
校訂,ㄐㄧㄠˋ ㄉㄧㄥˋ,ㄒㄧㄠˋ ㄉㄧㄥˋ,校:ㄒㄧㄠˋ→ㄐㄧㄠˋ(IVS+1),IVS可修,
校對,ㄐㄧㄠˋ ㄉㄨㄟˋ,ㄒㄧㄠˋ ㄉㄨㄟˋ,校:ㄒㄧㄠˋ→ㄐㄧㄠˋ(IVS+1),IVS可修,
校稿,ㄐㄧㄠˋ ㄍㄠˇ,ㄒㄧㄠˋ ㄍㄠˇ,校:ㄒㄧㄠˋ→ㄐㄧㄠˋ(IVS+1),IVS可修,
校勘,ㄐㄧㄠˋ ㄎㄢ,ㄒㄧㄠˋ ㄎㄢ,校:ㄒㄧㄠˋ→ㄐㄧㄠˋ(IVS+1),IVS可修,
校勘學,ㄐㄧㄠˋ ㄎㄢ ㄒㄩㄝˊ,ㄒㄧㄠˋ ㄎㄢ ㄒㄩㄝˊ,校:ㄒㄧㄠˋ→ㄐㄧㄠˋ(IVS+1),IVS可修,
校正,ㄐㄧㄠˋ ㄓㄥˋ,ㄒㄧㄠˋ ㄓㄥˋ,校:ㄒㄧㄠˋ→ㄐㄧㄠˋ(IVS+1),IVS可修,
校閱,ㄐㄧㄠˋ ㄩㄝˋ,ㄒㄧㄠˋ ㄩㄝˋ,校:ㄒㄧㄠˋ→ㄐㄧㄠˋ(IVS+1),IVS可修,
教學相長,ㄐㄧㄠˋ ㄒㄩㄝˊ ㄒㄧㄤ ㄓㄤˇ,ㄐㄧㄠˋ ㄒㄩㄝˊ ㄒㄧㄤˋ ㄔㄤˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1); 長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
轎子,ㄐㄧㄠˋ ˙ㄗ,ㄐㄧㄠˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
糾彈,ㄐㄧㄡ ㄊㄢˊ,ㄐㄧㄡ ㄉㄢˋ,彈:ㄉㄢˋ→ㄊㄢˊ(IVS+1),IVS可修,
糾葛,ㄐㄧㄡ ㄍㄜˊ,ㄐㄧㄡ ㄍㄜˇ,葛:ㄍㄜˇ→ㄍㄜˊ(IVS+1),IVS可修,
九重葛,ㄐㄧㄡˇ ㄔㄨㄥˊ ㄍㄜˊ,ㄐㄧㄡˇ ㄓㄨㄥˋ ㄍㄜˇ,重:ㄓㄨㄥˋ→ㄔㄨㄥˊ(IVS+1); 葛:ㄍㄜˇ→ㄍㄜˊ(IVS+1),IVS可修,
酒吧,ㄐㄧㄡˇ ㄅㄚ,ㄐㄧㄡˇ ˙ㄅㄚ,吧:˙ㄅㄚ→ㄅㄚ(IVS+1),IVS可修,
舅舅,ㄐㄧㄡˋ ˙ㄐㄧㄡ,ㄐㄧㄡˋ ㄐㄧㄡˋ,舅:ㄐㄧㄡˋ→˙ㄐㄧㄡ(IVS+1),IVS可修,
舊地重遊,ㄐㄧㄡˋ ㄉㄧˋ ㄔㄨㄥˊ ㄧㄡˊ,ㄐㄧㄡˋ ㄉㄧˋ ㄓㄨㄥˋ ㄧㄡˊ,重:ㄓㄨㄥˋ→ㄔㄨㄥˊ(IVS+1),IVS可修,
舊調重彈,ㄐㄧㄡˋ ㄉㄧㄠˋ ㄔㄨㄥˊ ㄊㄢˊ,ㄐㄧㄡˋ ㄊㄧㄠˊ ㄓㄨㄥˋ ㄉㄢˋ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1); 重:ㄓㄨㄥˋ→ㄔㄨㄥˊ(IVS+1); 彈:ㄉㄢˋ→ㄊㄢˊ(IVS+1),IVS可修,
救難,ㄐㄧㄡˋ ㄋㄢˋ,ㄐㄧㄡˋ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
救苦救難,ㄐㄧㄡˋ ㄎㄨˇ ㄐㄧㄡˋ ㄋㄢˋ,ㄐㄧㄡˋ ㄎㄨˇ ㄐㄧㄡˋ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
兼差,ㄐㄧㄢ ㄔㄞ,ㄐㄧㄢ ㄔㄚ,差:ㄔㄚ→ㄔㄞ(IVS+1),IVS可修,
撿便宜,ㄐㄧㄢˇ ㄆㄧㄢˊ ㄧˊ,ㄐㄧㄢˇ ㄅㄧㄢˋ ㄧˊ,便:ㄅㄧㄢˋ→ㄆㄧㄢˊ(IVS+1),IVS可修,
建都,ㄐㄧㄢˋ ㄉㄨ,ㄐㄧㄢˋ ㄉㄡ,都:ㄉㄡ→ㄉㄨ(IVS+1),IVS可修,
健將,ㄐㄧㄢˋ ㄐㄧㄤˋ,ㄐㄧㄢˋ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
毽子,ㄐㄧㄢˋ ˙ㄗ,ㄐㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
間不容髮,ㄐㄧㄢˋ ㄅㄨˋ ㄖㄨㄥˊ ㄈㄚˇ,ㄐㄧㄢ ㄅㄨˋ ㄖㄨㄥˊ ㄈㄚˇ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
間諜,ㄐㄧㄢˋ ㄉㄧㄝˊ,ㄐㄧㄢ ㄉㄧㄝˊ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
間斷,ㄐㄧㄢˋ ㄉㄨㄢˋ,ㄐㄧㄢ ㄉㄨㄢˋ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
間隔,ㄐㄧㄢˋ ㄍㄜˊ,ㄐㄧㄢ ㄍㄜˊ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
間接,ㄐㄧㄢˋ ㄐㄧㄝ,ㄐㄧㄢ ㄐㄧㄝ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
間隙,ㄐㄧㄢˋ ㄒㄧˋ,ㄐㄧㄢ ㄒㄧˋ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
間歇,ㄐㄧㄢˋ ㄒㄧㄝ,ㄐㄧㄢ ㄒㄧㄝ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
間雜,ㄐㄧㄢˋ ㄗㄚˊ,ㄐㄧㄢ ㄗㄚˊ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
艦長,ㄐㄧㄢˋ ㄓㄤˇ,ㄐㄧㄢˋ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
賤骨頭,ㄐㄧㄢˋ ㄍㄨˊ ˙ㄊㄡ,ㄐㄧㄢˋ ㄍㄨˇ ㄊㄡˊ,骨:ㄍㄨˇ→ㄍㄨˊ(IVS+2); 頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
金嗓子,ㄐㄧㄣ ㄙㄤˇ ˙ㄗ,ㄐㄧㄣ ㄙㄤˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
禁不起,ㄐㄧㄣ ㄅㄨˋ ㄑㄧˇ,ㄐㄧㄣˋ ㄅㄨˋ ㄑㄧˇ,禁:ㄐㄧㄣˋ→ㄐㄧㄣ(IVS+1),IVS可修,
禁不住,ㄐㄧㄣ ㄅㄨˋ ㄓㄨˋ,ㄐㄧㄣˋ ㄅㄨˋ ㄓㄨˋ,禁:ㄐㄧㄣˋ→ㄐㄧㄣ(IVS+1),IVS可修,
緊急處分,ㄐㄧㄣˇ ㄐㄧˊ ㄔㄨˇ ㄈㄣˋ,ㄐㄧㄣˇ ㄐㄧˊ ㄔㄨˇ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
近處,ㄐㄧㄣˋ ㄔㄨˋ,ㄐㄧㄣˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
盡興,ㄐㄧㄣˋ ㄒㄧㄥˋ,ㄐㄧㄣˋ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
漿糊,ㄐㄧㄤˋ ㄏㄨˊ,ㄐㄧㄤ ㄏㄨˊ,漿:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
將門虎子,ㄐㄧㄤˋ ㄇㄣˊ ㄏㄨˇ ㄗˇ,ㄐㄧㄤ ㄇㄣˊ ㄏㄨˇ ㄗˇ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
將領,ㄐㄧㄤˋ ㄌㄧㄥˇ,ㄐㄧㄤ ㄌㄧㄥˇ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
將令,ㄐㄧㄤˋ ㄌㄧㄥˋ,ㄐㄧㄤ ㄌㄧㄥˋ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
將略,ㄐㄧㄤˋ ㄌㄩㄝˋ,ㄐㄧㄤ ㄌㄩㄝˋ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
將士,ㄐㄧㄤˋ ㄕˋ,ㄐㄧㄤ ㄕˋ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
將士用命,ㄐㄧㄤˋ ㄕˋ ㄩㄥˋ ㄇㄧㄥˋ,ㄐㄧㄤ ㄕˋ ㄩㄥˋ ㄇㄧㄥˋ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
將才,ㄐㄧㄤˋ ㄘㄞˊ,ㄐㄧㄤ ㄘㄞˊ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
京片子,ㄐㄧㄥ ㄆㄧㄢˋ ˙ㄗ,ㄐㄧㄥ ㄆㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
菁英分子,ㄐㄧㄥ ㄧㄥ ㄈㄣˋ ㄗˇ,ㄐㄧㄥ ㄧㄥ ㄈㄣ ㄗˇ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
精挑細選,ㄐㄧㄥ ㄊㄧㄠ ㄒㄧˋ ㄒㄩㄢˇ,ㄐㄧㄥ ㄊㄧㄠˇ ㄒㄧˋ ㄒㄩㄢˇ,挑:ㄊㄧㄠˇ→ㄊㄧㄠ(IVS+1),IVS可修,
經年累月,ㄐㄧㄥ ㄋㄧㄢˊ ㄌㄟˇ ㄩㄝˋ,ㄐㄧㄥ ㄋㄧㄢˊ ㄌㄟˋ ㄩㄝˋ,累:ㄌㄟˋ→ㄌㄟˇ(IVS+1),IVS可修,
經濟成長,ㄐㄧㄥ ㄐㄧˋ ㄔㄥˊ ㄓㄤˇ,ㄐㄧㄥ ㄐㄧˋ ㄔㄥˊ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
鏡子,ㄐㄧㄥˋ ˙ㄗ,ㄐㄧㄥˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
敬而遠之,ㄐㄧㄥˋ ㄦˊ ㄩㄢˋ ㄓ,ㄐㄧㄥˋ ㄦˊ ㄩㄢˇ ㄓ,遠:ㄩㄢˇ→ㄩㄢˋ(IVS+1),IVS可修,
敬業樂群,ㄐㄧㄥˋ ㄧㄝˋ ㄧㄠˋ ㄑㄩㄣˊ,ㄐㄧㄥˋ ㄧㄝˋ ㄌㄜˋ ㄑㄩㄣˊ,樂:ㄌㄜˋ→ㄧㄠˋ(IVS+2),IVS可修,
拘泥,ㄐㄩ ㄋㄧˋ,ㄐㄩ ㄋㄧˊ,泥:ㄋㄧˊ→ㄋㄧˋ(IVS+1),IVS可修,
居處,ㄐㄩ ㄔㄨˋ,ㄐㄩ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
橘子,ㄐㄩˊ ˙ㄗ,ㄐㄩˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
沮喪,ㄐㄩˇ ㄙㄤˋ,ㄐㄩˇ ㄙㄤ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
咀嚼,ㄐㄩˇ ㄐㄩㄝˊ,ㄐㄩˇ ㄐㄧㄠˊ,嚼:ㄐㄧㄠˊ→ㄐㄩㄝˊ(IVS+1),IVS可修,
枸櫞,ㄐㄩˇ ㄩㄢˊ,ㄍㄡˇ ㄩㄢˊ,枸:ㄍㄡˇ→ㄐㄩˇ(IVS+2),IVS可修,
巨著,ㄐㄩˋ ㄓㄨˋ,ㄐㄩˋ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨˋ(IVS+1),IVS可修,
鉅著,ㄐㄩˋ ㄓㄨˋ,ㄐㄩˋ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨˋ(IVS+1),IVS可修,
句讀,ㄐㄩˋ ㄉㄡˋ,ㄐㄩˋ ㄉㄨˊ,讀:ㄉㄨˊ→ㄉㄡˋ(IVS+1),IVS可修,
句子,ㄐㄩˋ ˙ㄗ,ㄐㄩˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
倨傲鮮腆,ㄐㄩˋ ㄠˋ ㄒㄧㄢˇ ㄊㄧㄢˇ,ㄐㄩˋ ㄠˋ ㄒㄧㄢ ㄊㄧㄢˇ,鮮:ㄒㄧㄢ→ㄒㄧㄢˇ(IVS+1),IVS可修,
鋸子,ㄐㄩˋ ˙ㄗ,ㄐㄩˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
瞿然,ㄐㄩˋ ㄖㄢˊ,ㄑㄩˊ ㄖㄢˊ,瞿:ㄑㄩˊ→ㄐㄩˋ(IVS+1),IVS可修,
角色,ㄐㄩㄝˊ ㄙㄜˋ,ㄐㄧㄠˇ ㄙㄜˋ,角:ㄐㄧㄠˇ→ㄐㄩㄝˊ(IVS+1),IVS可修,
倔強,ㄐㄩㄝˊ ㄐㄧㄤˋ,ㄐㄩㄝˊ ㄑㄧㄤˊ,強:ㄑㄧㄤˊ→ㄐㄧㄤˋ(IVS+2),IVS可修,
絕處逢生,ㄐㄩㄝˊ ㄔㄨˋ ㄈㄥˊ ㄕㄥ,ㄐㄩㄝˊ ㄔㄨˇ ㄈㄥˊ ㄕㄥ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
爵士樂,ㄐㄩㄝˊ ㄕˋ ㄩㄝˋ,ㄐㄩㄝˊ ㄕˋ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
嚼蠟,ㄐㄩㄝˊ ㄌㄚˋ,ㄐㄧㄠˊ ㄌㄚˋ,嚼:ㄐㄧㄠˊ→ㄐㄩㄝˊ(IVS+1),IVS可修,
覺得,ㄐㄩㄝˊ ˙ㄉㄜ,ㄐㄩㄝˊ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
身毒,ㄐㄩㄢ ㄉㄨˊ,ㄕㄣ ㄉㄨˊ,身:ㄕㄣ→ㄐㄩㄢ(IVS+1),IVS可修,
卷雲,ㄐㄩㄢˇ ㄩㄣˊ,ㄐㄩㄢˋ ㄩㄣˊ,卷:ㄐㄩㄢˋ→ㄐㄩㄢˇ(IVS+1),IVS可修,
捲土重來,ㄐㄩㄢˇ ㄊㄨˇ ㄔㄨㄥˊ ㄌㄞˊ,ㄐㄩㄢˇ ㄊㄨˇ ㄓㄨㄥˋ ㄌㄞˊ,重:ㄓㄨㄥˋ→ㄔㄨㄥˊ(IVS+1),IVS可修,
捲曲,ㄐㄩㄢˇ ㄑㄩ,ㄐㄩㄢˇ ㄑㄩˇ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
龜裂,ㄐㄩㄣ ㄌㄧㄝˋ,ㄍㄨㄟ ㄌㄧㄝˋ,龜:ㄍㄨㄟ→ㄐㄩㄣ(IVS+1),IVS可修,
棋高一著,ㄑㄧˊ ㄍㄠ ㄧ ㄓㄨㄛˊ,ㄑㄧˊ ㄍㄠ ㄧ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨㄛˊ(IVS+4),IVS可修,
旗鼓相當,ㄑㄧˊ ㄍㄨˇ ㄒㄧㄤ ㄉㄤ,ㄑㄧˊ ㄍㄨˇ ㄒㄧㄤˋ ㄉㄤ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
旗子,ㄑㄧˊ ˙ㄗ,ㄑㄧˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
騎縫,ㄑㄧˊ ㄈㄥˋ,ㄑㄧˊ ㄈㄥˊ,縫:ㄈㄥˊ→ㄈㄥˋ(IVS+1),IVS可修,
起子,ㄑㄧˇ ˙ㄗ,ㄑㄧˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
稽首,ㄑㄧˇ ㄕㄡˇ,ㄐㄧ ㄕㄡˇ,稽:ㄐㄧ→ㄑㄧˇ(IVS+1),IVS可修,
氣勢磅礴,ㄑㄧˋ ㄕˋ ㄆㄤ ㄅㄛˊ,ㄑㄧˋ ㄕˋ ㄅㄤˋ ㄅㄛˊ,磅:ㄅㄤˋ→ㄆㄤ(IVS+1),IVS可修,
氣味相投,ㄑㄧˋ ㄨㄟˋ ㄒㄧㄤ ㄊㄡˊ,ㄑㄧˋ ㄨㄟˋ ㄒㄧㄤˋ ㄊㄡˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
棄車保帥,ㄑㄧˋ ㄐㄩ ㄅㄠˇ ㄕㄨㄞˋ,ㄑㄧˋ ㄔㄜ ㄅㄠˇ ㄕㄨㄞˋ,車:ㄔㄜ→ㄐㄩ(IVS+1),IVS可修,
器樂,ㄑㄧˋ ㄩㄝˋ,ㄑㄧˋ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
恰到好處,ㄑㄧㄚˋ ㄉㄠˋ ㄏㄠˇ ㄔㄨˋ,ㄑㄧㄚˋ ㄉㄠˋ ㄏㄠˇ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
恰當,ㄑㄧㄚˋ ㄉㄤˋ,ㄑㄧㄚˋ ㄉㄤ,當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
恰如其分,ㄑㄧㄚˋ ㄖㄨˊ ㄑㄧˊ ㄈㄣˋ,ㄑㄧㄚˋ ㄖㄨˊ ㄑㄧˊ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
伽藍,ㄑㄧㄝˊ ㄌㄢˊ,ㄐㄧㄚ ㄌㄢˊ,伽:ㄐㄧㄚ→ㄑㄧㄝˊ(IVS+1),IVS可修,
茄子,ㄑㄧㄝˊ ˙ㄗ,ㄑㄧㄝˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
切盼,ㄑㄧㄝˋ ㄆㄢˋ,ㄑㄧㄝ ㄆㄢˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切莫,ㄑㄧㄝˋ ㄇㄛˋ,ㄑㄧㄝ ㄇㄛˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切脈,ㄑㄧㄝˋ ㄇㄞˋ,ㄑㄧㄝ ㄇㄞˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切膚之痛,ㄑㄧㄝˋ ㄈㄨ ㄓ ㄊㄨㄥˋ,ㄑㄧㄝ ㄈㄨ ㄓ ㄊㄨㄥˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切合,ㄑㄧㄝˋ ㄏㄜˊ,ㄑㄧㄝ ㄏㄜˊ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切忌,ㄑㄧㄝˋ ㄐㄧˋ,ㄑㄧㄝ ㄐㄧˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切記,ㄑㄧㄝˋ ㄐㄧˋ,ㄑㄧㄝ ㄐㄧˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切結,ㄑㄧㄝˋ ㄐㄧㄝˊ,ㄑㄧㄝ ㄐㄧㄝˊ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切結書,ㄑㄧㄝˋ ㄐㄧㄝˊ ㄕㄨ,ㄑㄧㄝ ㄐㄧㄝˊ ㄕㄨ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切中時弊,ㄑㄧㄝˋ ㄓㄨㄥˋ ㄕˊ ㄅㄧˋ,ㄑㄧㄝ ㄓㄨㄥ ㄕˊ ㄅㄧˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1); 中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
切齒,ㄑㄧㄝˋ ㄔˇ,ㄑㄧㄝ ㄔˇ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切實,ㄑㄧㄝˋ ㄕˊ,ㄑㄧㄝ ㄕˊ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切身,ㄑㄧㄝˋ ㄕㄣ,ㄑㄧㄝ ㄕㄣ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
切勿,ㄑㄧㄝˋ ㄨˋ,ㄑㄧㄝ ㄨˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
蹺辮子,ㄑㄧㄠ ㄅㄧㄢˋ ˙ㄗ,ㄑㄧㄠ ㄅㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
翹楚,ㄑㄧㄠˊ ㄔㄨˇ,ㄑㄧㄠˋ ㄔㄨˇ,翹:ㄑㄧㄠˋ→ㄑㄧㄠˊ(IVS+1),IVS可修,
翹首,ㄑㄧㄠˊ ㄕㄡˇ,ㄑㄧㄠˋ ㄕㄡˇ,翹:ㄑㄧㄠˋ→ㄑㄧㄠˊ(IVS+1),IVS可修,
翹首盼望,ㄑㄧㄠˊ ㄕㄡˇ ㄆㄢˋ ㄨㄤˋ,ㄑㄧㄠˋ ㄕㄡˇ ㄆㄢˋ ㄨㄤˋ,翹:ㄑㄧㄠˋ→ㄑㄧㄠˊ(IVS+1),IVS可修,
翹辮子,ㄑㄧㄠˋ ㄅㄧㄢˋ ˙ㄗ,ㄑㄧㄠˋ ㄅㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
龜茲,ㄑㄧㄡ ㄘˊ,ㄍㄨㄟ ㄗ,龜:ㄍㄨㄟ→ㄑㄧㄡ(IVS+2); 茲:ㄗ→ㄘˊ(IVS+1),IVS可修,
求好心切,ㄑㄧㄡˊ ㄏㄠˇ ㄒㄧㄣ ㄑㄧㄝˋ,ㄑㄧㄡˊ ㄏㄠˇ ㄒㄧㄣ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
酋長,ㄑㄧㄡˊ ㄓㄤˇ,ㄑㄧㄡˊ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
千挑萬選,ㄑㄧㄢ ㄊㄧㄠ ㄨㄢˋ ㄒㄩㄢˇ,ㄑㄧㄢ ㄊㄧㄠˇ ㄨㄢˋ ㄒㄩㄢˇ,挑:ㄊㄧㄠˇ→ㄊㄧㄠ(IVS+1),IVS可修,
