詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
當頭棒喝,ㄉㄤ ㄊㄡˊ ㄅㄤˋ ㄏㄜˋ,ㄉㄤ ㄊㄡˊ ㄅㄤˋ ㄏㄜ,當頭棒喝󠇡,U+7576 U+982D U+68D2 U+559D U+E01E1,喝:IVS+1,
當差,ㄉㄤ ㄔㄞ,ㄉㄤ ㄔㄚ,當差󠇡,U+7576 U+5DEE U+E01E1,差:IVS+1,
當兒,ㄉㄤ ㄦ,ㄉㄤ ㄦˊ,當兒󠇡,U+7576 U+5152 U+E01E1,兒:IVS+1,
當票,ㄉㄤˋ ㄆㄧㄠˋ,ㄉㄤ ㄆㄧㄠˋ,當󠇡票,U+7576 U+E01E1 U+7968,當:IVS+1,
當鋪,ㄉㄤˋ ㄆㄨˋ,ㄉㄤ ㄆㄨ,當󠇡鋪󠇡,U+7576 U+E01E1 U+92EA U+E01E1,當:IVS+1; 鋪:IVS+1,
當掉,ㄉㄤˋ ㄉㄧㄠˋ,ㄉㄤ ㄉㄧㄠˋ,當󠇡掉,U+7576 U+E01E1 U+6389,當:IVS+1,
當機,ㄉㄤˋ ㄐㄧ,ㄉㄤ ㄐㄧ,當󠇡機,U+7576 U+E01E1 U+6A5F,當:IVS+1,
當真,ㄉㄤˋ ㄓㄣ,ㄉㄤ ㄓㄣ,當󠇡真,U+7576 U+E01E1 U+771F,當:IVS+1,
當成,ㄉㄤˋ ㄔㄥˊ,ㄉㄤ ㄔㄥˊ,當󠇡成,U+7576 U+E01E1 U+6210,當:IVS+1,
當作,ㄉㄤˋ ㄗㄨㄛˋ,ㄉㄤ ㄗㄨㄛˋ,當󠇡作,U+7576 U+E01E1 U+4F5C,當:IVS+1,
當做,ㄉㄤˋ ㄗㄨㄛˋ,ㄉㄤ ㄗㄨㄛˋ,當󠇡做,U+7576 U+E01E1 U+505A,當:IVS+1,
等一會兒,ㄉㄥˇ ㄧ ㄏㄨㄟˇ ㄦ,ㄉㄥˇ ㄧ ㄏㄨㄟˋ ㄦˊ,等一會󠇢兒󠇡,U+7B49 U+4E00 U+6703 U+E01E2 U+5152 U+E01E1,會:IVS+2; 兒:IVS+1,
戥子,ㄉㄥˇ ˙ㄗ,ㄉㄥˇ ㄗˇ,戥子󠇡,U+6225 U+5B50 U+E01E1,子:IVS+1,
低調,ㄉㄧ ㄉㄧㄠˋ,ㄉㄧ ㄊㄧㄠˊ,低調󠇡,U+4F4E U+8ABF U+E01E1,調:IVS+1,
滴答,ㄉㄧ ㄉㄚ,ㄉㄧ ㄉㄚˊ,滴答󠇡,U+6EF4 U+7B54 U+E01E1,答:IVS+1,
滴滴答答,ㄉㄧ ㄉㄧ ㄉㄚ ㄉㄚ,ㄉㄧ ㄉㄧ ㄉㄚˊ ㄉㄚˊ,滴滴答󠇡答󠇡,U+6EF4 U+6EF4 U+7B54 U+E01E1 U+7B54 U+E01E1,答:IVS+1; 答:IVS+1,
的當,ㄉㄧˊ ㄉㄤˋ,˙ㄉㄜ ㄉㄤ,的󠇡當󠇡,U+7684 U+E01E1 U+7576 U+E01E1,的:IVS+1; 當:IVS+1,
的確,ㄉㄧˊ ㄑㄩㄝˋ,˙ㄉㄜ ㄑㄩㄝˋ,的󠇡確,U+7684 U+E01E1 U+78BA,的:IVS+1,
笛子,ㄉㄧˊ ˙ㄗ,ㄉㄧˊ ㄗˇ,笛子󠇡,U+7B1B U+5B50 U+E01E1,子:IVS+1,
嫡長子,ㄉㄧˊ ㄓㄤˇ ㄗˇ,ㄉㄧˊ ㄔㄤˊ ㄗˇ,嫡長󠇡子,U+5AE1 U+9577 U+E01E1 U+5B50,長:IVS+1,
底子,ㄉㄧˇ ˙ㄗ,ㄉㄧˇ ㄗˇ,底子󠇡,U+5E95 U+5B50 U+E01E1,子:IVS+1,
地藏王菩薩,ㄉㄧˋ ㄗㄤˋ ㄨㄤˊ ㄆㄨˊ ㄙㄚˋ,ㄉㄧˋ ㄘㄤˊ ㄨㄤˊ ㄆㄨˊ ㄙㄚˋ,地藏󠇡王菩薩,U+5730 U+85CF U+E01E1 U+738B U+83E9 U+85A9,藏:IVS+1,
弟弟,ㄉㄧˋ ˙ㄉㄧ,ㄉㄧˋ ㄉㄧˋ,弟弟󠇡,U+5F1F U+5F1F U+E01E1,弟:IVS+1,
帝都,ㄉㄧˋ ㄉㄨ,ㄉㄧˋ ㄉㄡ,帝都󠇡,U+5E1D U+90FD U+E01E1,都:IVS+1,
遞解,ㄉㄧˋ ㄐㄧㄝˋ,ㄉㄧˋ ㄐㄧㄝˇ,遞解󠇡,U+905E U+89E3 U+E01E1,解:IVS+1,
跌倒,ㄉㄧㄝˊ ㄉㄠˇ,ㄉㄧㄝˊ ㄉㄠˋ,跌倒󠇡,U+8DCC U+5012 U+E01E1,倒:IVS+1,
碟式煞車,ㄉㄧㄝˊ ㄕˋ ㄕㄚ ㄔㄜ,ㄉㄧㄝˊ ㄕˋ ㄕㄚˋ ㄔㄜ,碟式煞󠇡車,U+789F U+5F0F U+715E U+E01E1 U+8ECA,煞:IVS+1,
碟煞,ㄉㄧㄝˊ ㄕㄚ,ㄉㄧㄝˊ ㄕㄚˋ,碟煞󠇡,U+789F U+715E U+E01E1,煞:IVS+1,
碟子,ㄉㄧㄝˊ ˙ㄗ,ㄉㄧㄝˊ ㄗˇ,碟子󠇡,U+789F U+5B50 U+E01E1,子:IVS+1,
弔膀子,ㄉㄧㄠˋ ㄅㄤˋ ˙ㄗ,ㄉㄧㄠˋ ㄅㄤˇ ㄗˇ,弔膀󠇣子󠇡,U+5F14 U+8180 U+E01E3 U+5B50 U+E01E1,膀:IVS+3; 子:IVS+1,
吊嗓子,ㄉㄧㄠˋ ㄙㄤˇ ˙ㄗ,ㄉㄧㄠˋ ㄙㄤˇ ㄗˇ,吊嗓子󠇡,U+540A U+55D3 U+5B50 U+E01E1,子:IVS+1,
調撥,ㄉㄧㄠˋ ㄅㄛ,ㄊㄧㄠˊ ㄅㄛ,調󠇡撥,U+8ABF U+E01E1 U+64A5,調:IVS+1,
調撥車道,ㄉㄧㄠˋ ㄅㄛ ㄔㄜ ㄉㄠˋ,ㄊㄧㄠˊ ㄅㄛ ㄔㄜ ㄉㄠˋ,調󠇡撥車道,U+8ABF U+E01E1 U+64A5 U+8ECA U+9053,調:IVS+1,
調包,ㄉㄧㄠˋ ㄅㄠ,ㄊㄧㄠˊ ㄅㄠ,調󠇡包,U+8ABF U+E01E1 U+5305,調:IVS+1,
調兵遣將,ㄉㄧㄠˋ ㄅㄧㄥ ㄑㄧㄢˇ ㄐㄧㄤˋ,ㄊㄧㄠˊ ㄅㄧㄥ ㄑㄧㄢˇ ㄐㄧㄤ,調󠇡兵遣將󠇡,U+8ABF U+E01E1 U+5175 U+9063 U+5C07 U+E01E1,調:IVS+1; 將:IVS+1,
調派,ㄉㄧㄠˋ ㄆㄞˋ,ㄊㄧㄠˊ ㄆㄞˋ,調󠇡派,U+8ABF U+E01E1 U+6D3E,調:IVS+1,
調調,ㄉㄧㄠˋ ㄉㄧㄠˋ,ㄊㄧㄠˊ ㄊㄧㄠˊ,調󠇡調󠇡,U+8ABF U+E01E1 U+8ABF U+E01E1,調:IVS+1; 調:IVS+1,
調度,ㄉㄧㄠˋ ㄉㄨˋ,ㄊㄧㄠˊ ㄉㄨˋ,調󠇡度,U+8ABF U+E01E1 U+5EA6,調:IVS+1,
調度室,ㄉㄧㄠˋ ㄉㄨˋ ㄕˋ,ㄊㄧㄠˊ ㄉㄨˋ ㄕˋ,調󠇡度室,U+8ABF U+E01E1 U+5EA6 U+5BA4,調:IVS+1,
調動,ㄉㄧㄠˋ ㄉㄨㄥˋ,ㄊㄧㄠˊ ㄉㄨㄥˋ,調󠇡動,U+8ABF U+E01E1 U+52D5,調:IVS+1,
