詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
還我河山,ㄏㄨㄢˊ ㄨㄛˇ ㄏㄜˊ ㄕㄢ,ㄏㄞˊ ㄨㄛˇ ㄏㄜˊ ㄕㄢ,還󠇡我河山,U+9084 U+E01E1 U+6211 U+6CB3 U+5C71,還:IVS+1,
還原,ㄏㄨㄢˊ ㄩㄢˊ,ㄏㄞˊ ㄩㄢˊ,還󠇡原,U+9084 U+E01E1 U+539F,還:IVS+1,
還願,ㄏㄨㄢˊ ㄩㄢˋ,ㄏㄞˊ ㄩㄢˋ,還󠇡願,U+9084 U+E01E1 U+9858,還:IVS+1,
患難,ㄏㄨㄢˋ ㄋㄢˋ,ㄏㄨㄢˋ ㄋㄢˊ,患難󠇡,U+60A3 U+96E3 U+E01E1,難:IVS+1,
患難之交,ㄏㄨㄢˋ ㄋㄢˋ ㄓ ㄐㄧㄠ,ㄏㄨㄢˋ ㄋㄢˊ ㄓ ㄐㄧㄠ,患難󠇡之交,U+60A3 U+96E3 U+E01E1 U+4E4B U+4EA4,難:IVS+1,
患難與共,ㄏㄨㄢˋ ㄋㄢˋ ㄩˇ ㄍㄨㄥˋ,ㄏㄨㄢˋ ㄋㄢˊ ㄩˇ ㄍㄨㄥˋ,患難󠇡與共,U+60A3 U+96E3 U+E01E1 U+8207 U+5171,難:IVS+1,
患處,ㄏㄨㄢˋ ㄔㄨˋ,ㄏㄨㄢˋ ㄔㄨˇ,患處󠇡,U+60A3 U+8655 U+E01E1,處:IVS+1,
昏倒,ㄏㄨㄣ ㄉㄠˇ,ㄏㄨㄣ ㄉㄠˋ,昏倒󠇡,U+660F U+5012 U+E01E1,倒:IVS+1,
昏頭轉向,ㄏㄨㄣ ㄊㄡˊ ㄓㄨㄢˋ ㄒㄧㄤˋ,ㄏㄨㄣ ㄊㄡˊ ㄓㄨㄢˇ ㄒㄧㄤˋ,昏頭轉󠇡向,U+660F U+982D U+8F49 U+E01E1 U+5411,轉:IVS+1,
渾沌,ㄏㄨㄣˋ ㄉㄨㄣˋ,ㄏㄨㄣˊ ㄉㄨㄣˋ,渾󠇡沌,U+6E3E U+E01E1 U+6C8C,渾:IVS+1,
渾天儀,ㄏㄨㄣˋ ㄊㄧㄢ ㄧˊ,ㄏㄨㄣˊ ㄊㄧㄢ ㄧˊ,渾󠇡天儀,U+6E3E U+E01E1 U+5929 U+5100,渾:IVS+1,
渾元,ㄏㄨㄣˋ ㄩㄢˊ,ㄏㄨㄣˊ ㄩㄢˊ,渾󠇡元,U+6E3E U+E01E1 U+5143,渾:IVS+1,
皇冠,ㄏㄨㄤˊ ㄍㄨㄢ,ㄏㄨㄤˊ ㄍㄨㄢˋ,皇冠󠇡,U+7687 U+51A0 U+E01E1,冠:IVS+1,
黃梅調,ㄏㄨㄤˊ ㄇㄟˊ ㄉㄧㄠˋ,ㄏㄨㄤˊ ㄇㄟˊ ㄊㄧㄠˊ,黃梅調󠇡,U+9EC3 U+6885 U+8ABF U+E01E1,調:IVS+1,
黃毛丫頭,ㄏㄨㄤˊ ㄇㄠˊ ㄧㄚ ˙ㄊㄡ,ㄏㄨㄤˊ ㄇㄠˊ ㄧㄚ ㄊㄡˊ,黃毛丫頭󠇡,U+9EC3 U+6BDB U+4E2B U+982D U+E01E1,頭:IVS+1,
幌子,ㄏㄨㄤˇ ˙ㄗ,ㄏㄨㄤˇ ㄗˇ,幌子󠇡,U+5E4C U+5B50 U+E01E1,子:IVS+1,
洪洞縣,ㄏㄨㄥˊ ㄊㄨㄥˊ ㄒㄧㄢˋ,ㄏㄨㄥˊ ㄉㄨㄥˋ ㄒㄧㄢˋ,洪洞󠇡縣,U+6D2A U+6D1E U+E01E1 U+7E23,洞:IVS+1,
紅得發紫,ㄏㄨㄥˊ ˙ㄉㄜ ㄈㄚ ㄗˇ,ㄏㄨㄥˊ ㄉㄜˊ ㄈㄚ ㄗˇ,紅得󠇡發紫,U+7D05 U+5F97 U+E01E1 U+767C U+7D2B,得:IVS+1,
鴻爪,ㄏㄨㄥˊ ㄓㄠˇ,ㄏㄨㄥˊ ㄓㄨㄚˇ,鴻爪󠇡,U+9D3B U+722A U+E01E1,爪:IVS+1,
哄騙,ㄏㄨㄥˇ ㄆㄧㄢˋ,ㄏㄨㄥ ㄆㄧㄢˋ,哄󠇡騙,U+54C4 U+E01E1 U+9A19,哄:IVS+1,
奇數,ㄐㄧ ㄕㄨˋ,ㄑㄧˊ ㄕㄨˋ,奇󠇡數,U+5947 U+E01E1 U+6578,奇:IVS+1,
幾乎,ㄐㄧ ㄏㄨ,ㄐㄧˇ ㄏㄨ,幾󠇡乎,U+5E7E U+E01E1 U+4E4E,幾:IVS+1,
嘰哩咕嚕,ㄐㄧ ㄌㄧ ㄍㄨ ㄌㄨ,ㄐㄧ ㄌㄧˇ ㄍㄨ ㄌㄨ,嘰哩󠇢咕嚕,U+5630 U+54E9 U+E01E2 U+5495 U+5695,哩:IVS+2,
激將法,ㄐㄧ ㄐㄧㄤˋ ㄈㄚˇ,ㄐㄧ ㄐㄧㄤ ㄈㄚˇ,激將󠇡法,U+6FC0 U+5C07 U+E01E1 U+6CD5,將:IVS+1,
激切,ㄐㄧ ㄑㄧㄝˋ,ㄐㄧ ㄑㄧㄝ,激切󠇡,U+6FC0 U+5207 U+E01E1,切:IVS+1,
積累,ㄐㄧ ㄌㄟˇ,ㄐㄧ ㄌㄟˋ,積累󠇡,U+7A4D U+7D2F U+E01E1,累:IVS+1,
雞毛撢子,ㄐㄧ ㄇㄠˊ ㄉㄢˇ ˙ㄗ,ㄐㄧ ㄇㄠˊ ㄉㄢˇ ㄗˇ,雞毛撢子󠇡,U+96DE U+6BDB U+64A2 U+5B50 U+E01E1,子:IVS+1,
雞蛋裡挑骨頭,ㄐㄧ ㄉㄢˋ ㄌㄧˇ ㄊㄧㄠ ㄍㄨˊ ˙ㄊㄡ,ㄐㄧ ㄉㄢˋ ㄌㄧˇ ㄊㄧㄠˇ ㄍㄨˇ ㄊㄡˊ,雞蛋裡挑󠇡骨󠇢頭󠇡,U+96DE U+86CB U+88E1 U+6311 U+E01E1 U+9AA8 U+E01E2 U+982D U+E01E1,挑:IVS+1; 骨:IVS+2; 頭:IVS+1,
雞冠,ㄐㄧ ㄍㄨㄢ,ㄐㄧ ㄍㄨㄢˋ,雞冠󠇡,U+96DE U+51A0 U+E01E1,冠:IVS+1,
級長,ㄐㄧˊ ㄓㄤˇ,ㄐㄧˊ ㄔㄤˊ,級長󠇡,U+7D1A U+9577 U+E01E1,長:IVS+1,
即興,ㄐㄧˊ ㄒㄧㄥˋ,ㄐㄧˊ ㄒㄧㄥ,即興󠇡,U+5373 U+8208 U+E01E1,興:IVS+1,
急難,ㄐㄧˊ ㄋㄢˋ,ㄐㄧˊ ㄋㄢˊ,急難󠇡,U+6025 U+96E3 U+E01E1,難:IVS+1,
急公好義,ㄐㄧˊ ㄍㄨㄥ ㄏㄠˋ ㄧˋ,ㄐㄧˊ ㄍㄨㄥ ㄏㄠˇ ㄧˋ,急公好󠇡義,U+6025 U+516C U+597D U+E01E1 U+7FA9,好:IVS+1,
急切,ㄐㄧˊ ㄑㄧㄝˋ,ㄐㄧˊ ㄑㄧㄝ,急切󠇡,U+6025 U+5207 U+E01E1,切:IVS+1,
急性子,ㄐㄧˊ ㄒㄧㄥˋ ˙ㄗ,ㄐㄧˊ ㄒㄧㄥˋ ㄗˇ,急性子󠇡,U+6025 U+6027 U+5B50 U+E01E1,子:IVS+1,
擊倒,ㄐㄧˊ ㄉㄠˇ,ㄐㄧˊ ㄉㄠˋ,擊倒󠇡,U+64CA U+5012 U+E01E1,倒:IVS+1,
擊中,ㄐㄧˊ ㄓㄨㄥˋ,ㄐㄧˊ ㄓㄨㄥ,擊中󠇡,U+64CA U+4E2D U+E01E1,中:IVS+1,
給付,ㄐㄧˇ ㄈㄨˋ,ㄍㄟˇ ㄈㄨˋ,給󠇡付,U+7D66 U+E01E1 U+4ED8,給:IVS+1,
給水,ㄐㄧˇ ㄕㄨㄟˇ,ㄍㄟˇ ㄕㄨㄟˇ,給󠇡水,U+7D66 U+E01E1 U+6C34,給:IVS+1,
給予,ㄐㄧˇ ㄩˇ,ㄍㄟˇ ㄩˇ,給󠇡予,U+7D66 U+E01E1 U+4E88,給:IVS+1,
給與,ㄐㄧˇ ㄩˇ,ㄍㄟˇ ㄩˇ,給󠇡與,U+7D66 U+E01E1 U+8207,給:IVS+1,
濟濟,ㄐㄧˇ ㄐㄧˇ,ㄐㄧˋ ㄐㄧˋ,濟󠇡濟󠇡,U+6FDF U+E01E1 U+6FDF U+E01E1,濟:IVS+1; 濟:IVS+1,
濟濟多士,ㄐㄧˇ ㄐㄧˇ ㄉㄨㄛ ㄕˋ,ㄐㄧˋ ㄐㄧˋ ㄉㄨㄛ ㄕˋ,濟󠇡濟󠇡多士,U+6FDF U+E01E1 U+6FDF U+E01E1 U+591A U+58EB,濟:IVS+1; 濟:IVS+1,
記得,ㄐㄧˋ ˙ㄉㄜ,ㄐㄧˋ ㄉㄜˊ,記得󠇡,U+8A18 U+5F97 U+E01E1,得:IVS+1,
加給,ㄐㄧㄚ ㄐㄧˇ,ㄐㄧㄚ ㄍㄟˇ,加給󠇡,U+52A0 U+7D66 U+E01E1,給:IVS+1,
家當,ㄐㄧㄚ ㄉㄤˋ,ㄐㄧㄚ ㄉㄤ,家當󠇡,U+5BB6 U+7576 U+E01E1,當:IVS+1,
家長,ㄐㄧㄚ ㄓㄤˇ,ㄐㄧㄚ ㄔㄤˊ,家長󠇡,U+5BB6 U+9577 U+E01E1,長:IVS+1,
家畜,ㄐㄧㄚ ㄔㄨˋ,ㄐㄧㄚ ㄒㄩˋ,家畜󠇡,U+5BB6 U+755C U+E01E1,畜:IVS+1,
夾縫,ㄐㄧㄚˊ ㄈㄥˋ,ㄐㄧㄚˊ ㄈㄥˊ,夾縫󠇡,U+593E U+7E2B U+E01E1,縫:IVS+1,
夾子,ㄐㄧㄚˊ ˙ㄗ,ㄐㄧㄚˊ ㄗˇ,夾子󠇡,U+593E U+5B50 U+E01E1,子:IVS+1,
架子,ㄐㄧㄚˋ ˙ㄗ,ㄐㄧㄚˋ ㄗˇ,架子󠇡,U+67B6 U+5B50 U+E01E1,子:IVS+1,
假期,ㄐㄧㄚˋ ㄑㄧˊ,ㄐㄧㄚˇ ㄑㄧˊ,假󠇡期,U+5047 U+E01E1 U+671F,假:IVS+1,
假日,ㄐㄧㄚˋ ㄖˋ,ㄐㄧㄚˇ ㄖˋ,假󠇡日,U+5047 U+E01E1 U+65E5,假:IVS+1,
假日花市,ㄐㄧㄚˋ ㄖˋ ㄏㄨㄚ ㄕˋ,ㄐㄧㄚˇ ㄖˋ ㄏㄨㄚ ㄕˋ,假󠇡日花市,U+5047 U+E01E1 U+65E5 U+82B1 U+5E02,假:IVS+1,
接縫,ㄐㄧㄝ ㄈㄥˋ,ㄐㄧㄝ ㄈㄥˊ,接縫󠇡,U+63A5 U+7E2B U+E01E1,縫:IVS+1,
接種,ㄐㄧㄝ ㄓㄨㄥˋ,ㄐㄧㄝ ㄓㄨㄥˇ,接種󠇡,U+63A5 U+7A2E U+E01E1,種:IVS+1,
接應,ㄐㄧㄝ ㄧㄥˋ,ㄐㄧㄝ ㄧㄥ,接應󠇡,U+63A5 U+61C9 U+E01E1,應:IVS+1,
結巴,ㄐㄧㄝ ㄅㄚ,ㄐㄧㄝˊ ㄅㄚ,結󠇡巴,U+7D50 U+E01E1 U+5DF4,結:IVS+1,
劫難,ㄐㄧㄝˊ ㄋㄢˋ,ㄐㄧㄝˊ ㄋㄢˊ,劫難󠇡,U+52AB U+96E3 U+E01E1,難:IVS+1,
櫛比鱗次,ㄐㄧㄝˊ ㄅㄧˋ ㄌㄧㄣˊ ㄘˋ,ㄐㄧㄝˊ ㄅㄧˇ ㄌㄧㄣˊ ㄘˋ,櫛比󠇡鱗次,U+6ADB U+6BD4 U+E01E1 U+9C57 U+6B21,比:IVS+1,
癤子,ㄐㄧㄝˊ ˙ㄗ,ㄐㄧㄝˊ ㄗˇ,癤子󠇡,U+7664 U+5B50 U+E01E1,子:IVS+1,
潔身自好,ㄐㄧㄝˊ ㄕㄣ ㄗˋ ㄏㄠˋ,ㄐㄧㄝˊ ㄕㄣ ㄗˋ ㄏㄠˇ,潔身自好󠇡,U+6F54 U+8EAB U+81EA U+597D U+E01E1,好:IVS+1,
解悶,ㄐㄧㄝˇ ㄇㄣˋ,ㄐㄧㄝˇ ㄇㄣ,解悶󠇡,U+89E3 U+60B6 U+E01E1,悶:IVS+1,
借調,ㄐㄧㄝˋ ㄉㄧㄠˋ,ㄐㄧㄝˋ ㄊㄧㄠˊ,借調󠇡,U+501F U+8ABF U+E01E1,調:IVS+1,
借屍還魂,ㄐㄧㄝˋ ㄕ ㄏㄨㄢˊ ㄏㄨㄣˊ,ㄐㄧㄝˋ ㄕ ㄏㄞˊ ㄏㄨㄣˊ,借屍還󠇡魂,U+501F U+5C4D U+9084 U+E01E1 U+9B42,還:IVS+1,
解送,ㄐㄧㄝˋ ㄙㄨㄥˋ,ㄐㄧㄝˇ ㄙㄨㄥˋ,解󠇡送,U+89E3 U+E01E1 U+9001,解:IVS+1,
解元,ㄐㄧㄝˋ ㄩㄢˊ,ㄐㄧㄝˇ ㄩㄢˊ,解󠇡元,U+89E3 U+E01E1 U+5143,解:IVS+1,
交還,ㄐㄧㄠ ㄏㄨㄢˊ,ㄐㄧㄠ ㄏㄞˊ,交還󠇡,U+4EA4 U+9084 U+E01E1,還:IVS+1,
交響樂,ㄐㄧㄠ ㄒㄧㄤˇ ㄩㄝˋ,ㄐㄧㄠ ㄒㄧㄤˇ ㄌㄜˋ,交響樂󠇡,U+4EA4 U+97FF U+6A02 U+E01E1,樂:IVS+1,
交差,ㄐㄧㄠ ㄔㄞ,ㄐㄧㄠ ㄔㄚ,交差󠇡,U+4EA4 U+5DEE U+E01E1,差:IVS+1,
交惡,ㄐㄧㄠ ㄨˋ,ㄐㄧㄠ ㄜˋ,交惡󠇡,U+4EA4 U+60E1 U+E01E1,惡:IVS+1,
教書,ㄐㄧㄠ ㄕㄨ,ㄐㄧㄠˋ ㄕㄨ,教󠇡書,U+6559 U+E01E1 U+66F8,教:IVS+1,
膠卷,ㄐㄧㄠ ㄐㄩㄢˇ,ㄐㄧㄠ ㄐㄩㄢˋ,膠卷󠇡,U+81A0 U+5377 U+E01E1,卷:IVS+1,
膠著狀態,ㄐㄧㄠ ㄓㄨㄛˊ ㄓㄨㄤˋ ㄊㄞˋ,ㄐㄧㄠ ˙ㄓㄜ ㄓㄨㄤˋ ㄊㄞˋ,膠著󠇤狀態,U+81A0 U+8457 U+E01E4 U+72C0 U+614B,著:IVS+4,
驕橫,ㄐㄧㄠ ㄏㄥˋ,ㄐㄧㄠ ㄏㄥˊ,驕橫󠇡,U+9A55 U+6A6B U+E01E1,橫:IVS+1,
餃子,ㄐㄧㄠˇ ˙ㄗ,ㄐㄧㄠˇ ㄗˇ,餃子󠇡,U+9903 U+5B50 U+E01E1,子:IVS+1,
腳丫子,ㄐㄧㄠˇ ㄧㄚ ˙ㄗ,ㄐㄧㄠˇ ㄧㄚ ㄗˇ,腳丫子󠇡,U+8173 U+4E2B U+5B50 U+E01E1,子:IVS+1,
攪和,ㄐㄧㄠˇ ㄏㄨㄛˋ,ㄐㄧㄠˇ ㄏㄜˊ,攪和󠇣,U+652A U+548C U+E01E3,和:IVS+3,
校訂,ㄐㄧㄠˋ ㄉㄧㄥˋ,ㄒㄧㄠˋ ㄉㄧㄥˋ,校󠇡訂,U+6821 U+E01E1 U+8A02,校:IVS+1,
校對,ㄐㄧㄠˋ ㄉㄨㄟˋ,ㄒㄧㄠˋ ㄉㄨㄟˋ,校󠇡對,U+6821 U+E01E1 U+5C0D,校:IVS+1,
校稿,ㄐㄧㄠˋ ㄍㄠˇ,ㄒㄧㄠˋ ㄍㄠˇ,校󠇡稿,U+6821 U+E01E1 U+7A3F,校:IVS+1,
校勘,ㄐㄧㄠˋ ㄎㄢ,ㄒㄧㄠˋ ㄎㄢ,校󠇡勘,U+6821 U+E01E1 U+52D8,校:IVS+1,
校勘學,ㄐㄧㄠˋ ㄎㄢ ㄒㄩㄝˊ,ㄒㄧㄠˋ ㄎㄢ ㄒㄩㄝˊ,校󠇡勘學,U+6821 U+E01E1 U+52D8 U+5B78,校:IVS+1,
校正,ㄐㄧㄠˋ ㄓㄥˋ,ㄒㄧㄠˋ ㄓㄥˋ,校󠇡正,U+6821 U+E01E1 U+6B63,校:IVS+1,
校閱,ㄐㄧㄠˋ ㄩㄝˋ,ㄒㄧㄠˋ ㄩㄝˋ,校󠇡閱,U+6821 U+E01E1 U+95B1,校:IVS+1,
教學相長,ㄐㄧㄠˋ ㄒㄩㄝˊ ㄒㄧㄤ ㄓㄤˇ,ㄐㄧㄠˋ ㄒㄩㄝˊ ㄒㄧㄤˋ ㄔㄤˊ,教學相󠇡長󠇡,U+6559 U+5B78 U+76F8 U+E01E1 U+9577 U+E01E1,相:IVS+1; 長:IVS+1,
轎子,ㄐㄧㄠˋ ˙ㄗ,ㄐㄧㄠˋ ㄗˇ,轎子󠇡,U+8F4E U+5B50 U+E01E1,子:IVS+1,
糾彈,ㄐㄧㄡ ㄊㄢˊ,ㄐㄧㄡ ㄉㄢˋ,糾彈󠇡,U+7CFE U+5F48 U+E01E1,彈:IVS+1,
糾葛,ㄐㄧㄡ ㄍㄜˊ,ㄐㄧㄡ ㄍㄜˇ,糾葛󠇡,U+7CFE U+845B U+E01E1,葛:IVS+1,
九重葛,ㄐㄧㄡˇ ㄔㄨㄥˊ ㄍㄜˊ,ㄐㄧㄡˇ ㄓㄨㄥˋ ㄍㄜˇ,九重󠇡葛󠇡,U+4E5D U+91CD U+E01E1 U+845B U+E01E1,重:IVS+1; 葛:IVS+1,
酒吧,ㄐㄧㄡˇ ㄅㄚ,ㄐㄧㄡˇ ˙ㄅㄚ,酒吧󠇡,U+9152 U+5427 U+E01E1,吧:IVS+1,
舅舅,ㄐㄧㄡˋ ˙ㄐㄧㄡ,ㄐㄧㄡˋ ㄐㄧㄡˋ,舅舅󠇡,U+8205 U+8205 U+E01E1,舅:IVS+1,
舊地重遊,ㄐㄧㄡˋ ㄉㄧˋ ㄔㄨㄥˊ ㄧㄡˊ,ㄐㄧㄡˋ ㄉㄧˋ ㄓㄨㄥˋ ㄧㄡˊ,舊地重󠇡遊,U+820A U+5730 U+91CD U+E01E1 U+904A,重:IVS+1,
舊調重彈,ㄐㄧㄡˋ ㄉㄧㄠˋ ㄔㄨㄥˊ ㄊㄢˊ,ㄐㄧㄡˋ ㄊㄧㄠˊ ㄓㄨㄥˋ ㄉㄢˋ,舊調󠇡重󠇡彈󠇡,U+820A U+8ABF U+E01E1 U+91CD U+E01E1 U+5F48 U+E01E1,調:IVS+1; 重:IVS+1; 彈:IVS+1,
救難,ㄐㄧㄡˋ ㄋㄢˋ,ㄐㄧㄡˋ ㄋㄢˊ,救難󠇡,U+6551 U+96E3 U+E01E1,難:IVS+1,
救苦救難,ㄐㄧㄡˋ ㄎㄨˇ ㄐㄧㄡˋ ㄋㄢˋ,ㄐㄧㄡˋ ㄎㄨˇ ㄐㄧㄡˋ ㄋㄢˊ,救苦救難󠇡,U+6551 U+82E6 U+6551 U+96E3 U+E01E1,難:IVS+1,
兼差,ㄐㄧㄢ ㄔㄞ,ㄐㄧㄢ ㄔㄚ,兼差󠇡,U+517C U+5DEE U+E01E1,差:IVS+1,
撿便宜,ㄐㄧㄢˇ ㄆㄧㄢˊ ㄧˊ,ㄐㄧㄢˇ ㄅㄧㄢˋ ㄧˊ,撿便󠇡宜,U+64BF U+4FBF U+E01E1 U+5B9C,便:IVS+1,
建都,ㄐㄧㄢˋ ㄉㄨ,ㄐㄧㄢˋ ㄉㄡ,建都󠇡,U+5EFA U+90FD U+E01E1,都:IVS+1,
健將,ㄐㄧㄢˋ ㄐㄧㄤˋ,ㄐㄧㄢˋ ㄐㄧㄤ,健將󠇡,U+5065 U+5C07 U+E01E1,將:IVS+1,
毽子,ㄐㄧㄢˋ ˙ㄗ,ㄐㄧㄢˋ ㄗˇ,毽子󠇡,U+6BFD U+5B50 U+E01E1,子:IVS+1,
間不容髮,ㄐㄧㄢˋ ㄅㄨˋ ㄖㄨㄥˊ ㄈㄚˇ,ㄐㄧㄢ ㄅㄨˋ ㄖㄨㄥˊ ㄈㄚˇ,間󠇡不容髮,U+9593 U+E01E1 U+4E0D U+5BB9 U+9AEE,間:IVS+1,
間諜,ㄐㄧㄢˋ ㄉㄧㄝˊ,ㄐㄧㄢ ㄉㄧㄝˊ,間󠇡諜,U+9593 U+E01E1 U+8ADC,間:IVS+1,
間斷,ㄐㄧㄢˋ ㄉㄨㄢˋ,ㄐㄧㄢ ㄉㄨㄢˋ,間󠇡斷,U+9593 U+E01E1 U+65B7,間:IVS+1,
間隔,ㄐㄧㄢˋ ㄍㄜˊ,ㄐㄧㄢ ㄍㄜˊ,間󠇡隔,U+9593 U+E01E1 U+9694,間:IVS+1,
間接,ㄐㄧㄢˋ ㄐㄧㄝ,ㄐㄧㄢ ㄐㄧㄝ,間󠇡接,U+9593 U+E01E1 U+63A5,間:IVS+1,
間隙,ㄐㄧㄢˋ ㄒㄧˋ,ㄐㄧㄢ ㄒㄧˋ,間󠇡隙,U+9593 U+E01E1 U+9699,間:IVS+1,
間歇,ㄐㄧㄢˋ ㄒㄧㄝ,ㄐㄧㄢ ㄒㄧㄝ,間󠇡歇,U+9593 U+E01E1 U+6B47,間:IVS+1,
間雜,ㄐㄧㄢˋ ㄗㄚˊ,ㄐㄧㄢ ㄗㄚˊ,間󠇡雜,U+9593 U+E01E1 U+96DC,間:IVS+1,
艦長,ㄐㄧㄢˋ ㄓㄤˇ,ㄐㄧㄢˋ ㄔㄤˊ,艦長󠇡,U+8266 U+9577 U+E01E1,長:IVS+1,
賤骨頭,ㄐㄧㄢˋ ㄍㄨˊ ˙ㄊㄡ,ㄐㄧㄢˋ ㄍㄨˇ ㄊㄡˊ,賤骨󠇢頭󠇡,U+8CE4 U+9AA8 U+E01E2 U+982D U+E01E1,骨:IVS+2; 頭:IVS+1,
金嗓子,ㄐㄧㄣ ㄙㄤˇ ˙ㄗ,ㄐㄧㄣ ㄙㄤˇ ㄗˇ,金嗓子󠇡,U+91D1 U+55D3 U+5B50 U+E01E1,子:IVS+1,
禁不起,ㄐㄧㄣ ㄅㄨˋ ㄑㄧˇ,ㄐㄧㄣˋ ㄅㄨˋ ㄑㄧˇ,禁󠇡不起,U+7981 U+E01E1 U+4E0D U+8D77,禁:IVS+1,
禁不住,ㄐㄧㄣ ㄅㄨˋ ㄓㄨˋ,ㄐㄧㄣˋ ㄅㄨˋ ㄓㄨˋ,禁󠇡不住,U+7981 U+E01E1 U+4E0D U+4F4F,禁:IVS+1,
緊急處分,ㄐㄧㄣˇ ㄐㄧˊ ㄔㄨˇ ㄈㄣˋ,ㄐㄧㄣˇ ㄐㄧˊ ㄔㄨˇ ㄈㄣ,緊急處分󠇡,U+7DCA U+6025 U+8655 U+5206 U+E01E1,分:IVS+1,
近處,ㄐㄧㄣˋ ㄔㄨˋ,ㄐㄧㄣˋ ㄔㄨˇ,近處󠇡,U+8FD1 U+8655 U+E01E1,處:IVS+1,
盡興,ㄐㄧㄣˋ ㄒㄧㄥˋ,ㄐㄧㄣˋ ㄒㄧㄥ,盡興󠇡,U+76E1 U+8208 U+E01E1,興:IVS+1,
漿糊,ㄐㄧㄤˋ ㄏㄨˊ,ㄐㄧㄤ ㄏㄨˊ,漿󠇡糊,U+6F3F U+E01E1 U+7CCA,漿:IVS+1,
將門虎子,ㄐㄧㄤˋ ㄇㄣˊ ㄏㄨˇ ㄗˇ,ㄐㄧㄤ ㄇㄣˊ ㄏㄨˇ ㄗˇ,將󠇡門虎子,U+5C07 U+E01E1 U+9580 U+864E U+5B50,將:IVS+1,
將領,ㄐㄧㄤˋ ㄌㄧㄥˇ,ㄐㄧㄤ ㄌㄧㄥˇ,將󠇡領,U+5C07 U+E01E1 U+9818,將:IVS+1,
將令,ㄐㄧㄤˋ ㄌㄧㄥˋ,ㄐㄧㄤ ㄌㄧㄥˋ,將󠇡令,U+5C07 U+E01E1 U+4EE4,將:IVS+1,
將略,ㄐㄧㄤˋ ㄌㄩㄝˋ,ㄐㄧㄤ ㄌㄩㄝˋ,將󠇡略,U+5C07 U+E01E1 U+7565,將:IVS+1,
將士,ㄐㄧㄤˋ ㄕˋ,ㄐㄧㄤ ㄕˋ,將󠇡士,U+5C07 U+E01E1 U+58EB,將:IVS+1,
將士用命,ㄐㄧㄤˋ ㄕˋ ㄩㄥˋ ㄇㄧㄥˋ,ㄐㄧㄤ ㄕˋ ㄩㄥˋ ㄇㄧㄥˋ,將󠇡士用命,U+5C07 U+E01E1 U+58EB U+7528 U+547D,將:IVS+1,
將才,ㄐㄧㄤˋ ㄘㄞˊ,ㄐㄧㄤ ㄘㄞˊ,將󠇡才,U+5C07 U+E01E1 U+624D,將:IVS+1,
京片子,ㄐㄧㄥ ㄆㄧㄢˋ ˙ㄗ,ㄐㄧㄥ ㄆㄧㄢˋ ㄗˇ,京片子󠇡,U+4EAC U+7247 U+5B50 U+E01E1,子:IVS+1,
菁英分子,ㄐㄧㄥ ㄧㄥ ㄈㄣˋ ㄗˇ,ㄐㄧㄥ ㄧㄥ ㄈㄣ ㄗˇ,菁英分󠇡子,U+83C1 U+82F1 U+5206 U+E01E1 U+5B50,分:IVS+1,
精挑細選,ㄐㄧㄥ ㄊㄧㄠ ㄒㄧˋ ㄒㄩㄢˇ,ㄐㄧㄥ ㄊㄧㄠˇ ㄒㄧˋ ㄒㄩㄢˇ,精挑󠇡細選,U+7CBE U+6311 U+E01E1 U+7D30 U+9078,挑:IVS+1,
經年累月,ㄐㄧㄥ ㄋㄧㄢˊ ㄌㄟˇ ㄩㄝˋ,ㄐㄧㄥ ㄋㄧㄢˊ ㄌㄟˋ ㄩㄝˋ,經年累󠇡月,U+7D93 U+5E74 U+7D2F U+E01E1 U+6708,累:IVS+1,
經濟成長,ㄐㄧㄥ ㄐㄧˋ ㄔㄥˊ ㄓㄤˇ,ㄐㄧㄥ ㄐㄧˋ ㄔㄥˊ ㄔㄤˊ,經濟成長󠇡,U+7D93 U+6FDF U+6210 U+9577 U+E01E1,長:IVS+1,
鏡子,ㄐㄧㄥˋ ˙ㄗ,ㄐㄧㄥˋ ㄗˇ,鏡子󠇡,U+93E1 U+5B50 U+E01E1,子:IVS+1,
敬而遠之,ㄐㄧㄥˋ ㄦˊ ㄩㄢˋ ㄓ,ㄐㄧㄥˋ ㄦˊ ㄩㄢˇ ㄓ,敬而遠󠇡之,U+656C U+800C U+9060 U+E01E1 U+4E4B,遠:IVS+1,
敬業樂群,ㄐㄧㄥˋ ㄧㄝˋ ㄧㄠˋ ㄑㄩㄣˊ,ㄐㄧㄥˋ ㄧㄝˋ ㄌㄜˋ ㄑㄩㄣˊ,敬業樂󠇢群,U+656C U+696D U+6A02 U+E01E2 U+7FA4,樂:IVS+2,
拘泥,ㄐㄩ ㄋㄧˋ,ㄐㄩ ㄋㄧˊ,拘泥󠇡,U+62D8 U+6CE5 U+E01E1,泥:IVS+1,
居處,ㄐㄩ ㄔㄨˋ,ㄐㄩ ㄔㄨˇ,居處󠇡,U+5C45 U+8655 U+E01E1,處:IVS+1,
橘子,ㄐㄩˊ ˙ㄗ,ㄐㄩˊ ㄗˇ,橘子󠇡,U+6A58 U+5B50 U+E01E1,子:IVS+1,
